CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
-46417.01557737682,130049.05760580646,61530.75018708409,-54.00181138526269,-24321.736354931378,-65927.49452158777,-9600.610113180288,17436.214830649784,0
-46289.007144511175,129950.39701166136,61664.95005279482,-66.71995322227198,-24383.784793840932,-65922.42067589883,-9591.73647116044,17236.636116304166,0
-46188.06667256753,129980.7953823087,61864.46171191107,-56.795779275642595,-24458.372560642514,-65901.47709259254,-9589.478945105013,16957.64165864239,0
-45933.21209747864,129924.82661752861,62373.67912374014,-47.36334367772005,-24737.45642527678,-65275.963561294295,-9627.968646762887,16260.535494121046,0
-45809.40579232012,129864.94629770199,62626.43263497547,-11718.750698491973,41163.50657722393,63104.379958175414,54737.11667878131,140618.95105951733,0
132512.5326223691,-94956.30681254307,1950.4131049164,-46875.00279396789,0.0,0.0,0.0,0.0,0
-45580.07690787774,129872.45648339132,63233.48362645409,-55.52172991762936,-25340.864082626347,-64698.28276027935,-9656.98120933659,15189.641129353113,0
-45461.63502106875,129844.27093531316,63480.492739706795,-61.713162762711214,-25478.93079989736,-64524.900288873934,-9649.851003280342,14890.597158109971,0
-45333.31366379938,129760.13897419805,63512.67924980397,-69.42451414015973,-25384.338223000657,-64425.47973546264,-9632.640161075602,14852.778008745789,0
-45201.28191717159,129675.55997822047,63460.82320575852,-70.00565946135875,-25180.78089837914,-64329.23312957484,-9603.962874648743,14934.250112429268,0
-45054.47566833947,129549.20557434594,63341.91193234395,-37.2380040429833,-24881.37929924603,-64255.204156351334,-9571.955178496552,15094.623869337074,0
-44926.19901455635,129448.0862884573,63194.43513121814,-10.773540185304892,-24569.281910019035,-64208.2207923067,-9556.51012399853,15329.384227358354,0
-44797.83295380074,129284.98561888849,63040.85630421974,-26.956202206385267,-24348.69255713776,-64194.22860111168,-9542.3167671154,15543.826850880792,0
-44683.570842955756,129165.71671758396,62870.223097218455,-21.167100737518115,-24048.352184793486,-64228.56087854867,-9501.882463805821,15714.750630542672,0
-44574.49433651533,129039.36231370941,62620.04003644228,-19.870699636381843,-23725.57066235367,-64314.212758196154,-9445.690181594502,15949.04160195837,0
-44459.82989429414,128879.3014812053,62360.93863016001,-35.9863064280931,-23550.265941039677,-64416.2261138097,-9394.884669475834,16127.788491713316,0
-44344.04786491679,128718.1677650313,62340.93382006489,-54.582956706461715,-23504.1095914906,-64336.296280401715,-9364.910981947838,16015.895665639378,0
-44233.47379168712,128595.76961968954,62436.3087079709,-32.09710312468428,-23541.01231938674,-64185.95845615616,-9351.32112212903,15749.686405043984,0
-44144.22328139683,128531.59776518331,62537.830325235744,-1.4305115598745084,-23654.35800876367,-64022.388399981755,-9338.424166347037,15436.359669945221,0
-44046.970847068485,128467.96235251201,62660.13906360501,-16.383827709187727,-23838.558723840637,-63836.82422857428,-9329.438765611574,15079.581146215269,0
-41680.39063694421,125758.59580985282,61481.12931735094,-30.55483284919458,-23482.33899368876,-61832.11873961203,-8882.98504847199,13309.725422246778,0
-26367.18907160694,10423.713053686204,-171860.3624022223,-80124.33827664485,187498.6924230273,-12434.40880980544,-119121.84918653066,-58869.95398223126,0
-41212.50159814963,125199.22108645565,60604.96333867093,-46.84925358589015,-22351.452550378595,-62030.13283193903,-8753.143772670255,14315.24093837982,0
-41099.647647121405,125034.60049835447,60359.07181257437,-39.18260569468771,-22074.894432717232,-62138.73995177388,-8716.755134865947,14596.023535491438,0
0.0,0.0,0.0,0.0,10.013580919121559,5.096197432052936,3921.5015722216112,105011.90900873595,0
-11043.906870121175,-3823.288012938977,-158586.64563814673,25634.99067038242,2042.770507500798,0.0,0.0,0.0,0
-40929.19325406511,124921.29951246378,60353.75209771109,-43.429436888065155,-21978.67017857255,-62016.96765523956,-8692.257624403097,14485.561220977379,0
-40830.018569828186,124820.76137189635,60492.95875388138,-44.63643101670927,-22139.490970342813,-61864.41700842482,-8706.071001653136,14260.501519471498,0
-40725.81474338858,124756.8800900507,60661.423841799726,-46.22340477844505,-22420.899416261876,-61691.4145166525,-8720.733745141848,13987.139701076729,0
-40629.92576539074,124726.9958094952,60817.5954710004,-45.32933505352349,-22614.823139597363,-61512.600571668176,-8734.144791015673,13705.351275524574,0
-40531.51104042,124624.33425333108,60921.06168991695,11.6899616533495,-22813.194859814335,-61344.537815126045,-8741.69968019126,13461.426702822848,0
-40436.024393798376,124530.07695258122,61027.85831855883,582.7546467038778,-23018.294454711347,-61177.68205271256,-8750.52861872486,13206.817996908307,0
-40351.91478442638,124489.84381495975,61191.27191253137,1678.5935567971205,-23231.865360251984,-60985.32295139568,-8756.094202762497,12880.773119972533,0
-40262.574867163596,124470.93424027767,61276.0967776833,2390.2507060915655,-23359.739682658892,-60812.52162531147,-8755.222484780697,12642.034151675352,0
-40148.580977236095,124329.8053341988,61172.876427941104,2115.3466174213063,-23296.52895310694,-60708.29544712874,-8731.239064409678,12650.527814062107,0
-40050.680342357184,124252.98239308491,60964.91580992435,1372.9781730758054,-23151.175567577815,-60623.112954086835,-8698.22553981695,12766.466305641312,0
-32325.180311511776,117637.96166407834,60825.642098524695,2417.1398530685815,-20752.453550842616,-55259.07458419052,-7895.328575094257,10165.215144468257,0
-32104.792124318603,117426.69298807936,60487.281411128126,1936.9573555563304,-20292.07469773738,-55183.99507904023,-7867.925338025411,10599.643623807648,0
